;marca;preco
45;Gabinete Gamer Hayom GB1722, Mid Tower, LED RGB, ATX, Lateral em Vidro Temperado, Preto - GB.17.10.22;R$ 139,99
46;Gabinete Gamer Redragon Superion, Mid Tower, Lateral em Vidro Temperado, Preto - GC-MB211;R$ 249,99
47;Gabinete Sharkoon REV100, Mid Tower, RGB, Lateral em Vidro Temperado, 1x Cooler Fan, Preto - REV100;R$ 299,99
48;Gabinete Gamer Corsair 4000D Airflow, Mid Tower, ATX, Lateral em Vidro Temperado, com Fan, Branco - CC-9011201-WW;R$ 549,99
49;Gabinete Sharkoon TG5, ATX,  LED Vermelho, Lateral  e Frontal em Vidro Temperado,4x Cooler Fan, Preto - TG5;R$ 429,99
50;Gabinete Gamer Bluecase Mini Tower, Sem Fonte, RGB, mATX, mITX, Lateral Acrílico, 1x Fan, Preto - BG-042;R$ 119,99
51;Gabinete Gamer Rise Mode Galaxy Glass Sound, Mid Tower, RGB, LED, Lateral e Frontal em Vidro Temperado, Sem Fans, Preto - RM-GA-GGS-FB;R$ 699,99
52;Gabinete NOX MODUS ATX, USB 3.0, 1 FAN Incluso, Janela Lateral Transparente,  Azul  NXMODUSB;R$ 229,99
53;Gabinete Gamer Mymax Lion, Mid Tower, LED RGB, ATX, M-ATX e ITX, Cooler, USB 3.0, Rosa;R$ 221,31
54;Gabinete Gamer Husky Gaming Polar, Branco - Mid Tower, ARGB com Fan, Porta lateral em Vidro Temperado - HGMC011;R$ 429,99
55;Gabinete NOX, USB 3.0, com Fonte 500W, Preto - NXLITE010;R$ 199,99
56;Gabinete Gamer Galax Revolution 05W Mid Tower, Vidro Temperado, ARGB ATX, Branco - NAC011395;R$ 465,90
57;Gabinete Gamer Husky Gaming Snow 500, Mid Tower, Porta Lateral em Vidro Temperado, Preto - HGMC009;R$ 349,99
58;Gabinete Gamer Rise Mode Galaxy Glass Sound, Mid Tower, RGB, LED, Lateral e Frontal em Vidro Temperado, Sem Fans, Rosa - RM-GA-GGS-PK;R$ 399,99
59;Gabinete Gamer Sharkoon TG6M, RGB, ATX, Lateral em Vidro Temperado, 3x Cooler Fan, Preto - TG6M RGB;R$ 524,99
60;Gabinete Sharkoon Elite Shark, Full Tower, Lateral em Vidro Temperado, 4x Fans RGB, Branco - CA300T;R$ 1.099,99
61;Gabinete Gamer Corsair 470T, Mid Tower, RGB, ATX, Lateral em Vidro Temperado, Com Fan, Preto  - CC-9011215-WW;R$ 599,99
62;Gabinete K-mex Gm-05tl Mini Tower, com fonte, Micro ATX, até 14cm, Preto - GM05TLRN0010BOX;R$ 160,65
63;Gabinete Gamer T-dagger P03b Preto Black Mid Tower Tgc-p03b;R$ 160,65
64;Gabinete Gamer Concórdia H8, Full Tower, ATX, RGB, Lateral Em Acrílico, Com 5 Fans Inclusos, Preto;R$ 323,10
65;Gabinete Gamer Corsair 7000D Airflow, Full Tower, Lateral em Vidro Temperado, Branco - CC-9011219-WW;R$ 2.249,99
66;Gabinete Gamer Sharkoon Pure Steel sem Fonte,  Mid Tower, USB 3.0, 2 Fans, Branco com Lateral em Vidro - PURE STEEL WHITE ATX;R$ 469,99
67;Gabinete Gamer T-Dagger T-TGC305B Cube Black, Mid Tower, Lateral em Vidro;R$ 268,08
68;Gabinete Gamer NOX Infinity Alpha, ARGB Rainbow, Lateral em Vidro, 1x Cooler, Preto  - NXINFINTYALPHA;R$ 279,99
69;Gabinete Gamer Multi GD-110, Mid Tower, Micro Atx, 2x Fans LED Vermelho, Preto - GA206;R$ 159,99
70;Gabinete Gamer Neologic Nl-c301w, MidTower, RGB, Branco;R$ 349,35
71;Gabinete Aerocool Cylon, Mid Tower, ATX, RGB LED, Preto;R$ 239,99
72;Gabinete Hayom Office GB1720, Mini Tower, ATX, Preto - GB1720;R$ 119,99
73;Gabinete BrazilPC, Mini ATX N110,  Mid Tower, S/ Fonte, Preto;R$ 81,99
74;Gabinete Gamer Worldpc Wpc Z22 Full Tower Lateral Vidro Temperado;R$ 269,10
75;Gabinete Gamer C3tech MT-G80BK, Mid Tower, ATX, Preto;R$ 122,23
76;Gabinete Bluecase, com Fonte, Cabo de Energia, USB, Microatx, Mini-ITX, Preto - BG-2301BX;R$ 179,99
77;Gabinete Gamer NZXT H9 Flow, Mid Tower, ATX, Lateral e Frontal em Vidro, Branco - CM-H91FW-01;R$ 1.449,99
78;Gabinete Gamer Corsair iCUE 4000X, RGB, Mid-Tower, ATX, Lateral e Frontal em Vidro Temperado, Com FAN, Branco - CC-9011205-WW;R$ 879,99
79;Gabinete Fortrek SC501BK, Sem Fonte, USB, Preto - 67244;R$ 102,46
80;Gabinete Gamer Deepcool Cg540 Mid Tower, ARGB, 4 FANS - R-cg540-bkage4-g-1;R$ 599,90
81;Gabinete ATX Trinity Mini V1, Preto - Aerocool;R$ 328,99
82;Carrinho Para Gabinete, E/ou Nobreak, Force Line, Preto, Com Rodinhas;R$ 25,67
